"entity_id","sport_code","sport_desc","sport_particip_code","sport_participation_desc","start_dt","stop_dt"
819909,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
819909,"MAFL","Football - Men","P","Participated",NULL,NULL
820004,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
820004,"MAFL","Football - Men","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
820194,"RSSM","Cal Soccer Club - Men","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
820238,"RSLC","Cal LaCrosse Club","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
820238,"RSLM","Cal Lacrosse Club - Men","P","Participated","2009-01-01 00:00:00","2009-12-31 00:00:00"
820271,"RSIH","Cal Ice Hockey Club","P","Participated","2004-08-01 00:00:00","2008-05-31 00:00:00"
820943,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
820943,"MABS","Baseball - Men","P","Participated",NULL,NULL
821022,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
821022,"MAFL","Football - Men","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
821064,"RSLM","Cal Lacrosse Club - Men","P","Participated","2005-01-01 00:00:00","2009-12-31 00:00:00"
822279,"MACC","Crew - Men","P","Participated",NULL,NULL
822279,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
822582,"RSRQ","Cal Racquetball Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
822617,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
822617,"MARU","Rugby - Men","P","Participated",NULL,NULL
822635,"ICA","Intercollegiate Athlete","P","Participated","1984-08-01 00:00:00","1988-05-20 00:00:00"
822635,"MAFL","Football - Men","P","Participated","1984-08-01 00:00:00","1988-05-20 00:00:00"
823233,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
823233,"MAFL","Football - Men","P","Participated",NULL,NULL
823575,"RSIH","Cal Ice Hockey Club","P","Participated","2004-08-01 00:00:00","2008-05-31 00:00:00"
823633,"RSCY","Cal Cycling Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
823638,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
823638,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
823715,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
823715,"MARU","Rugby - Men","P","Participated",NULL,NULL
823751,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
823751,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
823779,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
823779,"WASO","Soccer - Women","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
824451,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
824451,"WASB","Softball - Women","P","Participated","2004-08-01 00:00:00","2008-12-20 00:00:00"
825705,"MABS","Baseball - Men","P","Participated",NULL,NULL
825705,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
826643,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-08-15 00:00:00"
826643,"WASO","Soccer - Women","P","Participated","2004-08-01 00:00:00","2008-08-15 00:00:00"
826662,"RSBX","Cal Boxing Club","P","Participated",NULL,NULL
826971,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
826971,"MATN","Tennis - Men","P","Participated",NULL,NULL
827025,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827025,"MASO","Soccer - Men","P","Participated",NULL,NULL
827143,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827143,"MACC","Crew - Men","P","Participated",NULL,NULL
827147,"RSCY","Cal Cycling Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
827411,"RSTC","Cal Triathlon Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
827464,"RSHB","Cal Handball Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
827484,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
827484,"MACC","Crew - Men","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
827498,"RSCY","Cal Cycling Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
827498,"RSCY","Cal Cycling Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
827523,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827523,"WACW","Crew - Women","P","Participated",NULL,NULL
827765,"RSRW","Cal Rugby Club - Women","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
827793,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827793,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
827813,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827813,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
827866,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827866,"MACC","Crew - Men","P","Participated",NULL,NULL
827954,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
827954,"MATL","Track & Field - Men","P","Participated",NULL,NULL
828312,"ICA","Intercollegiate Athlete","P","Participated","1991-08-01 00:00:00","1996-05-18 00:00:00"
828312,"MAFL","Football - Men","P","Participated","1991-08-01 00:00:00","1996-05-18 00:00:00"
828639,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
828639,"MATL","Track & Field - Men","P","Participated",NULL,NULL
828906,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
828906,"WAVB","Volleyball - Women","P","Participated",NULL,NULL
829048,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
829048,"MABS","Baseball - Men","P","Participated",NULL,NULL
829201,"RSGY","Cal Gymnastics Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
829722,"RSAR","Cal Archery Club","P","Participated","2014-01-01 00:00:00","2015-12-31 00:00:00"
830295,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
830295,"MATL","Track & Field - Men","P","Participated",NULL,NULL
830438,"ICA","Intercollegiate Athlete","P","Participated","2003-01-01 00:00:00","2007-05-18 00:00:00"
830438,"MAGY","Gymnastics - Men","P","Participated","2003-01-01 00:00:00","2007-05-18 00:00:00"
830531,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
830531,"WATN","Tennis - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
830539,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
830539,"WATN","Tennis - Women","P","Participated",NULL,NULL
830665,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
830665,"MACC","Crew - Men","P","Participated",NULL,NULL
831115,"WAWP","Water Polo - Women","P","Participated",NULL,NULL
831115,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
831633,"WACC","WIA Track/Cross Country","P","Participated",NULL,NULL
831633,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
831934,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
