"entity_id","sport_code","sport_desc","sport_particip_code","sport_participation_desc","start_dt","stop_dt"
775322,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
775322,"MABS","Baseball - Men","P","Participated",NULL,NULL
775354,"MARU","Rugby - Men","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
775354,"ICA","Intercollegiate Athlete","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
775369,"MASW","Swimming & Diving - Men","P","Participated","2003-08-01 00:00:00","2007-12-20 00:00:00"
775369,"ICA","Intercollegiate Athlete","P","Participated","2003-08-01 00:00:00","2007-12-20 00:00:00"
775417,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
775417,"WAWP","Water Polo - Women","P","Participated",NULL,NULL
775644,"WASO","Soccer - Women","P","Participated",NULL,NULL
775644,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
775771,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
775771,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
775905,"WAVB","Volleyball - Women","P","Participated",NULL,NULL
775905,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
776126,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
