"entity_id","awd_honor_code","awd_honor_desc","awd_honor_dt"
110741,"PBK","Phi Beta Kappa",NULL
110906,"PBK","Phi Beta Kappa",NULL
111035,"CAL","CAA Leadership Award Scholar",NULL
111145,"RSA","Regents' Scholar-Aid Recipient",NULL
111238,"CAL","CAA Leadership Award Scholar",NULL
111319,"WCE","Wiskocil Award in Civil Engineering","1964-01-01 00:00:00"
111353,"CAL","CAA Leadership Award Scholar",NULL
111382,"HHS","Cal Hall Honor Society (Ex. 46-53)",NULL
111391,"PBK","Phi Beta Kappa",NULL
111408,"PBK","Phi Beta Kappa",NULL
111420,"CAL","CAA Leadership Award Scholar",NULL
111536,"PBK","Phi Beta Kappa",NULL
111861,"PBK","Phi Beta Kappa",NULL
111902,"PBK","Phi Beta Kappa",NULL
111989,"PBK","Phi Beta Kappa",NULL
112001,"PBK","Phi Beta Kappa",NULL
112019,"PBK","Phi Beta Kappa",NULL
112055,"PBK","Phi Beta Kappa",NULL
112158,"PBK","Phi Beta Kappa",NULL
112236,"PBK","Phi Beta Kappa",NULL
112247,"CAL","CAA Leadership Award Scholar",NULL
112253,"PBK","Phi Beta Kappa",NULL
112273,"PBK","Phi Beta Kappa",NULL
112296,"PBK","Phi Beta Kappa",NULL
112370,"CAL","CAA Leadership Award Scholar",NULL
112498,"PBK","Phi Beta Kappa",NULL
112616,"PBK","Phi Beta Kappa",NULL
112655,"PBK","Phi Beta Kappa",NULL
112671,"PBK","Phi Beta Kappa",NULL
112760,"PBK","Phi Beta Kappa",NULL
112784,"PBK","Phi Beta Kappa",NULL
112830,"CAT","CAA Distinguished Teaching Award",NULL
112987,"PBK","Phi Beta Kappa",NULL
113252,"PBK","Phi Beta Kappa",NULL
113412,"CAL","CAA Leadership Award Scholar",NULL
113436,"PBK","Phi Beta Kappa",NULL
113509,"PBK","Phi Beta Kappa",NULL
113643,"CAL","CAA Leadership Award Scholar",NULL
113777,"CAL","CAA Leadership Award Scholar",NULL
114036,"CAL","CAA Leadership Award Scholar",NULL
114044,"PBK","Phi Beta Kappa",NULL
114448,"CAL","CAA Leadership Award Scholar",NULL
114463,"PBK","Phi Beta Kappa",NULL
114531,"PBK","Phi Beta Kappa",NULL
114550,"PBK","Phi Beta Kappa",NULL
114680,"PBK","Phi Beta Kappa",NULL
114777,"PBK","Phi Beta Kappa",NULL
114777,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
114801,"CAL","CAA Leadership Award Scholar",NULL
114907,"CAL","CAA Leadership Award Scholar",NULL
114995,"PBK","Phi Beta Kappa",NULL
115019,"CAL","CAA Leadership Award Scholar",NULL
115054,"CAL","CAA Leadership Award Scholar",NULL
115113,"CAL","CAA Leadership Award Scholar",NULL
115218,"PBK","Phi Beta Kappa",NULL
115229,"PBK","Phi Beta Kappa",NULL
115319,"PBK","Phi Beta Kappa",NULL
115364,"PBK","Phi Beta Kappa",NULL
115376,"PBK","Phi Beta Kappa",NULL
115395,"PBK","Phi Beta Kappa",NULL
115444,"CAL","CAA Leadership Award Scholar",NULL
115499,"PBK","Phi Beta Kappa",NULL
115531,"PBK","Phi Beta Kappa",NULL
115596,"PBK","Phi Beta Kappa",NULL
